Relative particle diameter size
9
Aspect Ratio coordinates size
9
Particle Reynolds number coordinates size
14
Relative particle diameter coordinates (Particle diameter/Grid cell dimension parallel to slip)
3.125000E-02
6.250000E-02
1.250000E-01
2.500000E-01
5.000000E-01
1.000000E+00
2.000000E+00
4.000000E+00
8.000000E+00
Aspect Ratio coordinates (Grid cell dimension perpendicular to slip/Grid cell dimension parallel to slip)
1.600000E+01
8.000000E+00
4.000000E+00
2.000000E+00
1.000000E+00
5.000000E-01
2.500000E-01
1.250000E-01
6.250000E-02
Reynolds number coordinates (Calculated using particle diameter and freestream velocity)
1.562500E-02
3.125000E-02
6.250000E-02
1.250000E-01
2.500000E-01
5.000000E-01
1.000000E+00
2.000000E+00
4.000000E+00
8.000000E+00
1.600000E+01
3.200000E+01
6.400000E+01
1.280000E+02
Slip correction coefficient data
IDIA  IARY  IARZ  IREY            C1            C2            C3            C4            C5            C6            C7            C8
   1     1     1     1  2.082443E-01  2.089402E-01  2.596353E-01  2.605546E-01  2.596353E-01  2.605546E-01  3.475585E-01  3.489996E-01
   1     1     1     2  2.072932E-01  2.082066E-01  2.586828E-01  2.599274E-01  2.586828E-01  2.599274E-01  3.464762E-01  3.484745E-01
   1     1     1     3  2.069868E-01  2.082231E-01  2.584530E-01  2.601719E-01  2.584530E-01  2.601719E-01  3.463260E-01  3.491212E-01
   1     1     1     4  2.069771E-01  2.085528E-01  2.584843E-01  2.606955E-01  2.584843E-01  2.606955E-01  3.464761E-01  3.500957E-01
   1     1     1     5  2.070308E-01  2.088572E-01  2.585829E-01  2.611577E-01  2.585829E-01  2.611577E-01  3.466862E-01  3.509015E-01
   1     1     1     6  2.072013E-01  2.090587E-01  2.588561E-01  2.614505E-01  2.588561E-01  2.614505E-01  3.471943E-01  3.514012E-01
   1     1     1     7  2.075247E-01  2.091805E-01  2.593587E-01  2.616279E-01  2.593587E-01  2.616279E-01  3.481084E-01  3.516997E-01
   1     1     1     8  2.078691E-01  2.092586E-01  2.598868E-01  2.617444E-01  2.598868E-01  2.617444E-01  3.490626E-01  3.518951E-01
   1     1     1     9  2.081278E-01  2.093081E-01  2.602840E-01  2.618150E-01  2.602840E-01  2.618150E-01  3.497698E-01  3.520210E-01
   1     1     1    10  2.082881E-01  2.093367E-01  2.605253E-01  2.618588E-01  2.605253E-01  2.618588E-01  3.502065E-01  3.520932E-01
   1     1     1    11  2.083774E-01  2.093517E-01  2.606628E-01  2.618823E-01  2.606628E-01  2.618823E-01  3.504507E-01  3.521331E-01
   1     1     1    12  2.084266E-01  2.093597E-01  2.607329E-01  2.618928E-01  2.607329E-01  2.618928E-01  3.505789E-01  3.521538E-01
   1     1     1    13  2.084509E-01  2.093634E-01  2.607713E-01  2.618988E-01  2.607713E-01  2.618988E-01  3.506443E-01  3.521629E-01
   1     1     1    14  2.084626E-01  2.093658E-01  2.607889E-01  2.619019E-01  2.607889E-01  2.619019E-01  3.506765E-01  3.521685E-01
   1     1     2     1  2.177084E-01  2.192646E-01  2.735481E-01  2.757904E-01  2.727778E-01  2.745307E-01  3.703161E-01  3.733193E-01
   1     1     2     2  2.142749E-01  2.160417E-01  2.689595E-01  2.715410E-01  2.692178E-01  2.713414E-01  3.646063E-01  3.682733E-01
   1     1     2     3  2.126963E-01  2.149072E-01  2.668860E-01  2.701552E-01  2.676719E-01  2.704154E-01  3.622453E-01  3.670184E-01
   1     1     2     4  2.121870E-01  2.149160E-01  2.662545E-01  2.703222E-01  2.672579E-01  2.706824E-01  3.616339E-01  3.676191E-01
   1     1     2     5  2.120587E-01  2.152069E-01  2.661042E-01  2.708152E-01  2.672021E-01  2.711547E-01  3.615895E-01  3.685141E-01
   1     1     2     6  2.121561E-01  2.154546E-01  2.662732E-01  2.712129E-01  2.674257E-01  2.715079E-01  3.620242E-01  3.691611E-01
   1     1     2     7  2.124678E-01  2.156164E-01  2.667596E-01  2.714685E-01  2.679536E-01  2.717349E-01  3.629912E-01  3.695751E-01
   1     1     2     8  2.128430E-01  2.157229E-01  2.673269E-01  2.716337E-01  2.685506E-01  2.718797E-01  3.640693E-01  3.698386E-01
   1     1     2     9  2.131369E-01  2.157902E-01  2.677726E-01  2.717353E-01  2.690076E-01  2.719733E-01  3.648977E-01  3.700051E-01
   1     1     2    10  2.133261E-01  2.158276E-01  2.680549E-01  2.717940E-01  2.692976E-01  2.720252E-01  3.654179E-01  3.701028E-01
   1     1     2    11  2.134332E-01  2.158469E-01  2.682141E-01  2.718260E-01  2.694577E-01  2.720552E-01  3.657101E-01  3.701564E-01
   1     1     2    12  2.134900E-01  2.158569E-01  2.682987E-01  2.718433E-01  2.695455E-01  2.720698E-01  3.658635E-01  3.701845E-01
   1     1     2    13  2.135184E-01  2.158641E-01  2.683423E-01  2.718524E-01  2.695879E-01  2.720772E-01  3.659432E-01  3.701964E-01
   1     1     2    14  2.135338E-01  2.158651E-01  2.683642E-01  2.718554E-01  2.696102E-01  2.720822E-01  3.659827E-01  3.702043E-01
   1     1     3     1  2.345943E-01  2.396510E-01  3.029552E-01  3.112869E-01  2.976982E-01  3.025185E-01  4.205708E-01  4.301817E-01
   1     1     3     2  2.256914E-01  2.307040E-01  2.887032E-01  2.968043E-01  2.880445E-01  2.932696E-01  4.018022E-01  4.119562E-01
   1     1     3     3  2.200517E-01  2.257117E-01  2.799001E-01  2.889666E-01  2.820612E-01  2.883103E-01  3.904900E-01  4.024699E-01
   1     1     3     4  2.177734E-01  2.245017E-01  2.763948E-01  2.871597E-01  2.796621E-01  2.872259E-01  3.860321E-01  4.004824E-01
   1     1     3     5  2.169915E-01  2.247367E-01  2.751949E-01  2.876018E-01  2.788572E-01  2.875623E-01  3.845451E-01  4.011818E-01
   1     1     3     6  2.168295E-01  2.251966E-01  2.749496E-01  2.883715E-01  2.787982E-01  2.880800E-01  3.844414E-01  4.022057E-01
   1     1     3     7  2.171101E-01  2.255557E-01  2.753850E-01  2.889617E-01  2.793244E-01  2.884733E-01  3.854358E-01  4.029689E-01
   1     1     3     8  2.176061E-01  2.257793E-01  2.761448E-01  2.893292E-01  2.800932E-01  2.887246E-01  3.868696E-01  4.034617E-01
   1     1     3     9  2.180525E-01  2.259036E-01  2.768301E-01  2.895350E-01  2.807424E-01  2.888719E-01  3.880862E-01  4.037529E-01
   1     1     3    10  2.183540E-01  2.259731E-01  2.772926E-01  2.896480E-01  2.811669E-01  2.889546E-01  3.888826E-01  4.039146E-01
   1     1     3    11  2.185293E-01  2.260061E-01  2.775627E-01  2.897045E-01  2.814112E-01  2.889977E-01  3.893437E-01  4.040003E-01
   1     1     3    12  2.186243E-01  2.260240E-01  2.777083E-01  2.897343E-01  2.815425E-01  2.890206E-01  3.895879E-01  4.040453E-01
   1     1     3    13  2.186754E-01  2.260339E-01  2.777860E-01  2.897470E-01  2.816102E-01  2.890337E-01  3.897157E-01  4.040658E-01
   1     1     3    14  2.186987E-01  2.260371E-01  2.778229E-01  2.897563E-01  2.816452E-01  2.890376E-01  3.897820E-01  4.040783E-01
   1     1     4     1  2.472221E-01  2.628180E-01  3.263166E-01  3.541369E-01  3.191449E-01  3.324392E-01  4.674566E-01  4.969126E-01
   1     1     4     2  2.337875E-01  2.488198E-01  3.034604E-01  3.292972E-01  3.042302E-01  3.183646E-01  4.359080E-01  4.657955E-01
   1     1     4     3  2.214555E-01  2.369873E-01  2.831790E-01  3.090564E-01  2.907127E-01  3.068706E-01  4.085980E-01  4.414718E-01
   1     1     4     4  2.145266E-01  2.320108E-01  2.720946E-01  3.008155E-01  2.832889E-01  3.024659E-01  3.940589E-01  4.323959E-01
   1     1     4     5  2.119183E-01  2.320649E-01  2.679692E-01  3.009824E-01  2.804773E-01  3.027651E-01  3.886459E-01  4.330492E-01
   1     1     4     6  2.110072E-01  2.335497E-01  2.665277E-01  3.035165E-01  2.796353E-01  3.042545E-01  3.870235E-01  4.361375E-01
   1     1     4     7  2.108578E-01  2.348641E-01  2.662710E-01  3.057559E-01  2.799764E-01  3.055180E-01  3.876578E-01  4.387594E-01
   1     1     4     8  2.113462E-01  2.356847E-01  2.670013E-01  3.071527E-01  2.811242E-01  3.062976E-01  3.898390E-01  4.403885E-01
   1     1     4     9  2.120438E-01  2.361003E-01  2.680672E-01  3.078619E-01  2.823515E-01  3.067035E-01  3.921779E-01  4.412303E-01
   1     1     4    10  2.126110E-01  2.362890E-01  2.689411E-01  3.081871E-01  2.832514E-01  3.068927E-01  3.938965E-01  4.416280E-01
   1     1     4    11  2.129768E-01  2.363732E-01  2.694998E-01  3.083326E-01  2.837955E-01  3.069823E-01  3.949389E-01  4.418143E-01
   1     1     4    12  2.131833E-01  2.364120E-01  2.698177E-01  3.083970E-01  2.840959E-01  3.070252E-01  3.955161E-01  4.419022E-01
   1     1     4    13  2.132935E-01  2.364310E-01  2.699875E-01  3.084305E-01  2.842541E-01  3.070467E-01  3.958211E-01  4.419449E-01
   1     1     4    14  2.133502E-01  2.364393E-01  2.700764E-01  3.084454E-01  2.843345E-01  3.070565E-01  3.959765E-01  4.419681E-01
   1     1     5     1  2.430377E-01  2.776494E-01  3.186214E-01  3.817276E-01  3.125593E-01  3.423264E-01  4.529822E-01  5.202996E-01
   1     1     5     2  2.318721E-01  2.657366E-01  3.002286E-01  3.600122E-01  3.005585E-01  3.323138E-01  4.282923E-01  4.971099E-01
   1     1     5     3  2.167414E-01  2.497565E-01  2.755917E-01  3.315062E-01  2.834519E-01  3.182433E-01  3.943133E-01  4.659346E-01
   1     1     5     4  2.030149E-01  2.364186E-01  2.539392E-01  3.085504E-01  2.681513E-01  3.074639E-01  3.652396E-01  4.430089E-01
   1     1     5     5  1.947819E-01  2.310883E-01  2.412660E-01  2.996476E-01  2.593634E-01  3.047240E-01  3.491043E-01  4.373577E-01
   1     1     5     6  1.911400E-01  2.325052E-01  2.357337E-01  3.021124E-01  2.554716E-01  3.075193E-01  3.420676E-01  4.432383E-01
   1     1     5     7  1.883939E-01  2.359132E-01  2.315570E-01  3.079418E-01  2.528393E-01  3.113081E-01  3.373060E-01  4.512422E-01
   1     1     5     8  1.853956E-01  2.387876E-01  2.269749E-01  3.128831E-01  2.512064E-01  3.141396E-01  3.342961E-01  4.572730E-01
   1     1     5     9  1.826926E-01  2.405146E-01  2.228320E-01  3.158673E-01  2.508180E-01  3.157202E-01  3.334914E-01  4.606680E-01
   1     1     5    10  1.805624E-01  2.413162E-01  2.195633E-01  3.172600E-01  2.510349E-01  3.164308E-01  3.337748E-01  4.621988E-01
   1     1     5    11  1.790820E-01  2.416336E-01  2.172853E-01  3.178141E-01  2.513366E-01  3.167179E-01  3.342442E-01  4.628133E-01
   1     1     5    12  1.781650E-01  2.417537E-01  2.158812E-01  3.180266E-01  2.515564E-01  3.168304E-01  3.345931E-01  4.630601E-01
   1     1     5    13  1.776509E-01  2.418010E-01  2.150899E-01  3.181103E-01  2.516853E-01  3.168754E-01  3.348040E-01  4.631621E-01
   1     1     5    14  1.773749E-01  2.418213E-01  2.146701E-01  3.181455E-01  2.517544E-01  3.168982E-01  3.349177E-01  4.632072E-01
   1     1     6     1  2.523701E-01  3.072226E-01  3.356390E-01  4.419853E-01  3.111234E-01  3.611595E-01  4.504685E-01  5.667518E-01
   1     1     6     2  2.418027E-01  2.958364E-01  3.176517E-01  4.189579E-01  2.998016E-01  3.522234E-01  4.272146E-01  5.442920E-01
   1     1     6     3  2.262791E-01  2.784806E-01  2.916032E-01  3.850155E-01  2.823716E-01  3.377712E-01  3.926586E-01  5.100031E-01
   1     1     6     4  2.090876E-01  2.589693E-01  2.637989E-01  3.487193E-01  2.630200E-01  3.220440E-01  3.561882E-01  4.746605E-01
   1     1     6     5  1.935832E-01  2.417882E-01  2.396649E-01  3.183107E-01  2.461592E-01  3.099534E-01  3.259398E-01  4.487225E-01
   1     1     6     6  1.824570E-01  2.317401E-01  2.228812E-01  3.011743E-01  2.346100E-01  3.055619E-01  3.059846E-01  4.395611E-01
   1     1     6     7  1.757526E-01  2.307873E-01  2.129800E-01  2.996096E-01  2.269109E-01  3.086668E-01  2.929947E-01  4.460808E-01
   1     1     6     8  1.700840E-01  2.349629E-01  2.046982E-01  3.067202E-01  2.191259E-01  3.145992E-01  2.800731E-01  4.586546E-01
   1     1     6     9  1.626633E-01  2.396979E-01  1.940042E-01  3.148702E-01  2.104060E-01  3.197295E-01  2.658509E-01  4.697028E-01
   1     1     6    10  1.532406E-01  2.430919E-01  1.806669E-01  3.207663E-01  2.021009E-01  3.229146E-01  2.525511E-01  4.766519E-01
   1     1     6    11  1.427666E-01  2.448672E-01  1.661643E-01  3.238731E-01  1.952190E-01  3.244165E-01  2.417042E-01  4.799507E-01
   1     1     6    12  1.331096E-01  2.455803E-01  1.530951E-01  3.251311E-01  1.902638E-01  3.249929E-01  2.339966E-01  4.812193E-01
   1     1     6    13  1.258343E-01  2.458280E-01  1.434348E-01  3.255662E-01  1.871421E-01  3.251887E-01  2.291885E-01  4.816567E-01
   1     1     6    14  1.211771E-01  2.459074E-01  1.373340E-01  3.257093E-01  1.853636E-01  3.252567E-01  2.264575E-01  4.818047E-01
   1     1     7     1  2.720767E-01  3.387832E-01  3.722234E-01  5.122636E-01  3.131088E-01  3.759913E-01  4.549647E-01  6.050255E-01
   1     1     7     2  2.622620E-01  3.291890E-01  3.544649E-01  4.904201E-01  3.032160E-01  3.688572E-01  4.344813E-01  5.857466E-01
   1     1     7     3  2.475100E-01  3.137479E-01  3.282129E-01  4.567363E-01  2.878816E-01  3.567872E-01  4.036679E-01  5.552115E-01
   1     1     7     4  2.304107E-01  2.949196E-01  2.989217E-01  4.178006E-01  2.700647E-01  3.424548E-01  3.695164E-01  5.208669E-01
   1     1     7     5  2.130908E-01  2.747498E-01  2.704715E-01  3.784115E-01  2.523717E-01  3.280578E-01  3.371811E-01  4.880827E-01
   1     1     7     6  1.968490E-01  2.551241E-01  2.448761E-01  3.421560E-01  2.362876E-01  3.153986E-01  3.090858E-01  4.604909E-01
   1     1     7     7  1.826803E-01  2.390289E-01  2.233562E-01  3.138324E-01  2.223617E-01  3.070770E-01  2.856816E-01  4.429308E-01
   1     1     7     8  1.717565E-01  2.306684E-01  2.072492E-01  2.996015E-01  2.105061E-01  3.059754E-01  2.663913E-01  4.406451E-01
   1     1     7     9  1.635749E-01  2.312901E-01  1.954563E-01  3.006726E-01  1.989441E-01  3.112624E-01  2.481039E-01  4.517359E-01
   1     1     7    10  1.550360E-01  2.364119E-01  1.833745E-01  3.094032E-01  1.851699E-01  3.183147E-01  2.269761E-01  4.667968E-01
   1     1     7    11  1.434687E-01  2.416347E-01  1.673758E-01  3.184251E-01  1.688477E-01  3.239060E-01  2.028170E-01  4.789589E-01
   1     1     7    12  1.280263E-01  2.452069E-01  1.466706E-01  3.246697E-01  1.516072E-01  3.271745E-01  1.782832E-01  4.861584E-01
   1     1     7    13  1.100666E-01  2.469920E-01  1.234823E-01  3.278119E-01  1.361461E-01  3.286203E-01  1.571033E-01  4.893700E-01
   1     1     7    14  9.311276E-02  2.476726E-01  1.024317E-01  3.290160E-01  1.246211E-01  3.291358E-01  1.417962E-01  4.905174E-01
   1     1     8     1  2.923010E-01  3.641860E-01  4.118557E-01  5.741539E-01  3.174473E-01  3.866170E-01  4.644432E-01  6.335443E-01
   1     1     8     2  2.832139E-01  3.566126E-01  3.943132E-01  5.548996E-01  3.086032E-01  3.809100E-01  4.458397E-01  6.171365E-01
   1     1     8     3  2.694555E-01  3.440608E-01  3.682614E-01  5.246691E-01  2.950028E-01  3.711481E-01  4.179986E-01  5.911186E-01
   1     1     8     4  2.535082E-01  3.286578E-01  3.392007E-01  4.894242E-01  2.793606E-01  3.597347E-01  3.873083E-01  5.622212E-01
   1     1     8     5  2.372221E-01  3.116125E-01  3.107163E-01  4.524500E-01  2.637998E-01  3.480988E-01  3.580525E-01  5.340752E-01
   1     1     8     6  2.212287E-01  2.931403E-01  2.838805E-01  4.144736E-01  2.490201E-01  3.364010E-01  3.313800E-01  5.069005E-01
   1     1     8     7  2.053666E-01  2.735453E-01  2.583069E-01  3.763364E-01  2.345823E-01  3.246162E-01  3.063078E-01  4.805447E-01
   1     1     8     8  1.898449E-01  2.542973E-01  2.342345E-01  3.408435E-01  2.201642E-01  3.138436E-01  2.821793E-01  4.572768E-01
   1     1     8     9  1.757925E-01  2.385873E-01  2.132163E-01  3.132096E-01  2.061500E-01  3.068889E-01  2.595654E-01  4.426459E-01
   1     1     8    10  1.645275E-01  2.307316E-01  1.968741E-01  2.998239E-01  1.927375E-01  3.068276E-01  2.386424E-01  4.425302E-01
   1     1     8    11  1.554200E-01  2.318181E-01  1.839705E-01  3.016704E-01  1.783706E-01  3.127958E-01  2.169741E-01  4.550761E-01
   1     1     8    12  1.453829E-01  2.372278E-01  1.700639E-01  3.109052E-01  1.607095E-01  3.202054E-01  1.913438E-01  4.709597E-01
   1     1     8    13  1.315192E-01  2.426062E-01  1.513767E-01  3.202151E-01  1.392194E-01  3.259434E-01  1.615681E-01  4.834947E-01
   1     1     8    14  1.126058E-01  2.462398E-01  1.268173E-01  3.265848E-01  1.159281E-01  3.292313E-01  1.309154E-01  4.907788E-01
   1     1     9     1  3.069966E-01  3.807587E-01  4.421466E-01  6.174380E-01  3.211172E-01  3.931843E-01  4.725087E-01  6.516713E-01
   1     1     9     2  2.985204E-01  3.747726E-01  4.249550E-01  6.008439E-01  3.128921E-01  3.883710E-01  4.549746E-01  6.371851E-01
   1     1     9     3  2.856758E-01  3.646993E-01  3.994584E-01  5.747124E-01  3.003459E-01  3.801344E-01  4.289137E-01  6.144285E-01
   1     1     9     4  2.710000E-01  3.527373E-01  3.714099E-01  5.451811E-01  2.861751E-01  3.709320E-01  4.006207E-01  5.902232E-01
   1     1     9     5  2.563757E-01  3.399989E-01  3.445269E-01  5.151569E-01  2.724653E-01  3.621653E-01  3.742864E-01  5.680693E-01
   1     1     9     6  2.423186E-01  3.262032E-01  3.196437E-01  4.840428E-01  2.598375E-01  3.537297E-01  3.508883E-01  5.474444E-01
   1     1     9     7  2.282791E-01  3.105843E-01  2.956829E-01  4.503887E-01  2.476556E-01  3.448173E-01  3.290511E-01  5.263164E-01
   1     1     9     8  2.137395E-01  2.928297E-01  2.717581E-01  4.139716E-01  2.351423E-01  3.348620E-01  3.073312E-01  5.034211E-01
   1     1     9     9  1.987636E-01  2.735052E-01  2.480111E-01  3.763666E-01  2.219683E-01  3.240554E-01  2.852171E-01  4.793646E-01
   1     1     9    10  1.839742E-01  2.543563E-01  2.254090E-01  3.410377E-01  2.082636E-01  3.138536E-01  2.629794E-01  4.573552E-01
   1     1     9    11  1.705172E-01  2.387264E-01  2.055388E-01  3.135184E-01  1.944456E-01  3.072809E-01  2.413259E-01  4.435215E-01
   1     1     9    12  1.595118E-01  2.309836E-01  1.897606E-01  3.003070E-01  1.805374E-01  3.075035E-01  2.202591E-01  4.439927E-01
   1     1     9    13  1.502069E-01  2.321855E-01  1.767329E-01  3.023447E-01  1.649518E-01  3.136598E-01  1.974769E-01  4.569533E-01
   1     1     9    14  1.395949E-01  2.376730E-01  1.622164E-01  3.117225E-01  1.453980E-01  3.211694E-01  1.700650E-01  4.730848E-01
   1     2     1     1  2.177084E-01  2.192646E-01  2.727778E-01  2.745307E-01  2.735481E-01  2.757904E-01  3.703161E-01  3.733193E-01
   1     2     1     2  2.142749E-01  2.160417E-01  2.692178E-01  2.713414E-01  2.689595E-01  2.715410E-01  3.646063E-01  3.682733E-01
   1     2     1     3  2.126963E-01  2.149072E-01  2.676719E-01  2.704154E-01  2.668860E-01  2.701552E-01  3.622453E-01  3.670184E-01
   1     2     1     4  2.121870E-01  2.149160E-01  2.672579E-01  2.706824E-01  2.662545E-01  2.703222E-01  3.616339E-01  3.676191E-01
   1     2     1     5  2.120587E-01  2.152069E-01  2.672021E-01  2.711547E-01  2.661042E-01  2.708152E-01  3.615895E-01  3.685141E-01
   1     2     1     6  2.121561E-01  2.154546E-01  2.674257E-01  2.715079E-01  2.662732E-01  2.712129E-01  3.620242E-01  3.691611E-01
   1     2     1     7  2.124678E-01  2.156164E-01  2.679536E-01  2.717349E-01  2.667596E-01  2.714685E-01  3.629912E-01  3.695751E-01
   1     2     1     8  2.128430E-01  2.157229E-01  2.685506E-01  2.718797E-01  2.673269E-01  2.716337E-01  3.640693E-01  3.698386E-01
   1     2     1     9  2.131369E-01  2.157902E-01  2.690076E-01  2.719733E-01  2.677726E-01  2.717353E-01  3.648977E-01  3.700051E-01
   1     2     1    10  2.133261E-01  2.158276E-01  2.692976E-01  2.720252E-01  2.680549E-01  2.717940E-01  3.654179E-01  3.701028E-01
   1     2     1    11  2.134332E-01  2.158469E-01  2.694577E-01  2.720552E-01  2.682141E-01  2.718260E-01  3.657101E-01  3.701564E-01
   1     2     1    12  2.134900E-01  2.158569E-01  2.695455E-01  2.720698E-01  2.682987E-01  2.718433E-01  3.658635E-01  3.701845E-01
   1     2     1    13  2.135184E-01  2.158641E-01  2.695879E-01  2.720772E-01  2.683423E-01  2.718524E-01  3.659432E-01  3.701964E-01
   1     2     1    14  2.135338E-01  2.158651E-01  2.696102E-01  2.720822E-01  2.683642E-01  2.718554E-01  3.659827E-01  3.702043E-01
   1     2     2     1  2.278481E-01  2.304035E-01  2.859905E-01  2.891789E-01  2.859905E-01  2.891789E-01  3.901005E-01  3.946922E-01
   1     2     2     2  2.219125E-01  2.245955E-01  2.787020E-01  2.821752E-01  2.787020E-01  2.821752E-01  3.798467E-01  3.850662E-01
   1     2     2     3  2.187825E-01  2.219708E-01  2.751079E-01  2.793403E-01  2.751079E-01  2.793403E-01  3.750482E-01  3.815556E-01
   1     2     2     4  2.176593E-01  2.215069E-01  2.738707E-01  2.790346E-01  2.738707E-01  2.790346E-01  3.735442E-01  3.815493E-01
   1     2     2     5  2.172965E-01  2.217061E-01  2.735098E-01  2.794466E-01  2.735098E-01  2.794466E-01  3.731778E-01  3.823910E-01
   1     2     2     6  2.173125E-01  2.219705E-01  2.736162E-01  2.798580E-01  2.736162E-01  2.798580E-01  3.735155E-01  3.831086E-01
